1	10
1	8
1	7
1	6
2	10
1	5
2	10
2	9
2	9
3	10
1	3
3	9
2	6
1	3
4	8
5	9
4	7
6	10
6	10
3	5
5	8
5	8
6	9
4	6
6	9
7	10
5	7
5	7
5	7
6	8
3	4
7	9
4	5
5	6
9	9
6	6
2	2
4	4
4	4
4	4
11	10
10	9
10	9
11	9
12	9
12	9
8	6
8	6
15	10
3	2
14	9
13	8
5	3
10	6
15	9
17	10
17	10
17	10
12	7
12	7
18	10
13	7
15	8
17	9
19	10
19	10
12	6
14	7
4	2
16	8
2	1
16	8
4	2
16	8
21	10
19	9
11	5
9	4
14	6
17	7
20	8
5	2
20	8
18	7
26	10
8	3
24	9
8	3
22	8
25	9
14	5
23	8
21	7
18	6
27	9
18	6
21	7
15	5
28	9
28	9
28	9
22	7
19	6
32	10
26	8
30	9
30	9
20	6
10	3
30	9
31	9
28	8
35	10
28	8
7	2
14	4
32	9
29	8
37	10
26	7
26	7
30	8
30	8
19	5
38	10
19	5
23	6
35	9
39	10
39	10
39	10
12	3
32	8
28	7
36	9
12	3
20	5
41	10
33	8
29	7
29	7
21	5
38	9
38	9
43	10
13	3
39	9
26	6
44	10
44	10
40	9
45	10
18	4
41	9
46	10
42	9
14	3
28	6
47	10
48	10
30	6
10	2
15	3
10	2
35	7
45	9
50	10
30	6
31	6
47	9
37	7
48	9
16	3
16	3
27	5
27	5
38	7
49	9
49	9
11	2
33	6
33	6
22	4
28	5
46	8
35	6
35	6
47	8
36	6
48	8
12	2
24	4
6	1
30	5
43	7
50	8
44	7
19	3
45	7
33	5
47	7
27	4
48	7
35	5
21	3
43	6
29	4
44	6
44	6
22	3
30	4
38	5
38	5
23	3
46	6
46	6
39	5
40	5
40	5
33	4
33	4
42	5
26	3
26	3
18	2
9	1
27	3
28	3
28	3
48	5
39	4
49	5
20	2
10	1
41	4
31	3
42	4
43	4
11	1
22	2
44	4
33	3
34	3
23	2
46	4
23	2
35	3
35	3
35	3
36	3
36	3
36	3
37	3
38	3
39	3
26	2
40	3
40	3
41	3
41	3
29	2
15	1
32	2
16	1
33	2
35	2
35	2
35	2
36	2
38	2
19	1
19	1
39	2
40	2
42	2
21	1
43	2
23	1
46	2
25	1
25	1
30	1
31	1
34	1
34	1
34	1
35	1
35	1
36	1
36	1
36	1
37	1
39	1
40	1
40	1
41	1
40	4
44	1
45	1
47	1
